filename,filepath,emotion,transcription,dataset,emotion_label,gender,method,session
Ses04M_script02_2_F028,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F028.wav,ang,"Oh, right, sure.  This is standing on the beach.   This is waiting.  This is fighting.",IEMOCAP,angry,M,script,4
Ses04M_script02_2_F000,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F000.wav,neu,"Look at this, goose bumps.",IEMOCAP,neutral,M,script,4
Ses04M_script02_2_F014,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F014.wav,xxx,"For heaven's sake, this is not about fish.",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F002,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F002.wav,xxx,It's ridiculous.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F016,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F016.wav,sad,"It was about four years ago, right after we got married.  We thought I was pregnant and we had a bottle of champagne but no glasses.  You asked me to dance.  So we took off our shoes and you popped the cork.",IEMOCAP,sad,M,script,4
Ses04M_script02_2_M023,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M023.wav,xxx,You want to get some champagne?,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M037,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M037.wav,sad,"No, I know.  But still.  I know I don't make you happy.",IEMOCAP,sad,M,script,4
Ses04M_script02_2_M036,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M036.wav,xxx,"Maybe if you were with somebody else, too, huh?",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M022,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M022.wav,xxx,Sure.  Okay.  Alright.  I've got it.  Listen do you want to dance?,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F017,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F017.wav,xxx,"And while we were dancing, you said the softest, most intimate things to me, right into my ear so that I could feel them as much as hear them.  And I remember thinking this is it.  At last, at last I'm as happy as I'm supposed to be.",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F003,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F003.wav,xxx,It's PR.  Somebody sold you a bill of goods that this wonderful event is going to take place on the beach.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F007,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F007.wav,ang,We just have different ideas about what this evening is supposed to look like.,IEMOCAP,angry,M,script,4
Ses04M_script02_2_F013,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F013.wav,ang,"I did want to see it.  I always do.  I keep thinking this time will be the time, but it never is.",IEMOCAP,angry,M,script,4
Ses04M_script02_2_M026,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M026.wav,fru,"What, you want a divorce?",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M032,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M032.wav,fru,"Yes, it is.",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M033,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M033.wav,fru,Right.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M027,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M027.wav,fru,A vacation?,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F012,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F012.wav,fru,You don't have any idea what I'm saying.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F006,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F006.wav,ang,"Goddamn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting.",IEMOCAP,angry,M,script,4
Ses04M_script02_2_F010,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F010.wav,fru,Twice is every time we've tried.  That's ever.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F004,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F004.wav,xxx,Sure.  They're all told the same story.  It's what keeps us coming back for more; keeps us excited; keeps us thinking that life is going to start any minute now if we could just find the right spot; get in on the action.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M019,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M019.wav,fru,Uh.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M031,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M031.wav,ang,"And we'll have three fat rosy kids and ha, ha, ha, baby, the joke's on us, 'cause you know what you get, Carla?  You know what you get?  This.",IEMOCAP,angry,M,script,4
Ses04M_script02_2_M025,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M025.wav,fru,You want to get married again?,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M024,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M024.wav,fru,"What, you want me to breathe in your ear?",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M030,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M030.wav,xxx,"No, I'm just like you.  I thought it was going to be all peaches and roses and wind in our hair and sand in our toes and the fish will always come and the bills will always pay themselves.",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M018,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M018.wav,fru,"uh, taking the car out of the gara- out of the garage.",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F005,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F005.wav,xxx,"Well, I'm sorry, but it's still just fish to me.",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F011,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F011.wav,xxx,"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.  I feel as though my entire life is going to be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F034,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F034.wav,xxx,Well don't be ridiculous.  Don't you know that?  You're the one who probably wishes you were with somebody else; somebody who knew how to enjoy herself and didn't take everything so hard.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F020,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F020.wav,sad,No.,IEMOCAP,sad,M,script,4
Ses04M_script02_2_F008,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F008.wav,xxx,"For heaven's sake, we are not going to see the grunions.",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M015,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M015.wav,fru,"I've been trying to work this backwards, but I can't seem to pinpoint the moment when we took a turn for the worse.",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M001,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M001.wav,neu,What I said.,IEMOCAP,neutral,M,script,4
Ses04M_script02_2_M029,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M029.wav,ang,"Well welcome to the human race.  You think this is what I had in mind?  You think that when I proposed, I had this great fantasy going that four years down the line, we'd come to the beach and yell at each other over fish?  No.",IEMOCAP,angry,M,script,4
Ses04M_script02_2_M028,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M028.wav,xxx,"A new carpet?  A poodle?  An ice cream?  A back rub?  A suicide pact?  What?  What, Carla?  What the hell do you want?",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M000,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M000.wav,neu,Well so what'd you think?,IEMOCAP,neutral,M,script,4
Ses04M_script02_2_M014,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M014.wav,fru,It's just fish; nothing to get traumatized over.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F009,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F009.wav,ang,"We never do, do we?  Have we ever?",IEMOCAP,angry,M,script,4
Ses04M_script02_2_F021,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F021.wav,sad,No.,IEMOCAP,sad,M,script,4
Ses04M_script02_2_F035,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F035.wav,hap,"Okay, fine.  So we're in the wrong spot, but we're with the right person.",IEMOCAP,happy,M,script,4
Ses04M_script02_2_F023,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F023.wav,fru,No.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F037,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F037.wav,xxx,Or not.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M002,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M002.wav,fru,Certainly is not.  It's slightly exaggerated scientific fact.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M016,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M016.wav,fru,"You were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see, I took a shower.  Uh, you watched the news.  You said the grunions are running tonight.  I said great, let's go.  I feel lucky tonight.",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M017,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M017.wav,fru,"Uh,okay.  So I'm putting on my jacket; putting out the animals;",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M003,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M003.wav,xxx,I'm not the only one.  Look at these people.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F036,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F036.wav,hap,"Yeah, I noticed that.  Looks pretty on the water, doesn't it?  Big ol' white moon.  I'm sorry, Augie.",IEMOCAP,happy,M,script,4
Ses04M_script02_2_F022,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F022.wav,fru,No.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F026,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F026.wav,ang,I want something to turn out the way it's supposed to.,IEMOCAP,angry,M,script,4
Ses04M_script02_2_F032,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F032.wav,sad,I didn't say that.,IEMOCAP,sad,M,script,4
Ses04M_script02_2_M007,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M007.wav,ang,"There's nothing to it.  We come down here.  The grunions arrive.  They do their little fish business.  We go ooh, ah, look at the fish.  They go home.  We go home.",IEMOCAP,angry,M,script,4
Ses04M_script02_2_M013,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M013.wav,fru,"No, of course, not.",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M012,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M012.wav,xxx,I thought you wanted to see them.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M006,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M006.wav,ang,Well what's bugging you?,IEMOCAP,angry,M,script,4
Ses04M_script02_2_F033,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F033.wav,xxx,"For heaven's sake, whatever I'm doing, I'd rather be doing it with you.",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F027,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F027.wav,ang,This what?  What is this?  This isn't even anything.,IEMOCAP,angry,M,script,4
Ses04M_script02_2_F019,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F019.wav,sad,I'd rather not remember some things.  I'd rather not hope for some things.,IEMOCAP,sad,M,script,4
Ses04M_script02_2_F031,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F031.wav,fru,"I know you are, Augie.  Really, I do.  I know you meant for this to be special and nice and it's the full moon and the sand and everything.  But I just couldn't help thinking about being somewhere else.",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F025,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F025.wav,ang,No.,IEMOCAP,angry,M,script,4
Ses04M_script02_2_M038,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M038.wav,sur,Yeah?,IEMOCAP,surprised,M,script,4
Ses04M_script02_2_M010,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M010.wav,xxx,That's not ever.,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M004,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M004.wav,xxx,Are we talking about the same thing?,IEMOCAP,xxx,M,script,4
Ses04M_script02_2_M005,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M005.wav,fru,"Carla, can I ask you something?  Don't take this the wrong way, but are you having your period?",IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M011,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M011.wav,fru,We'll see them this year.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_M039,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M039.wav,hap,"Actually, now that you mention it, no.  I don't.",IEMOCAP,happy,M,script,4
Ses04M_script02_2_F024,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F024.wav,fru,No.,IEMOCAP,frustrated,M,script,4
Ses04M_script02_2_F030,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F030.wav,xxx,"This is just this.  I mean, it includes a lot and everything, but it's just not, you know, something else.  Do you have any idea what I'm trying to say?",IEMOCAP,xxx,M,script,4
Ses04M_script02_2_F018,Data/IEMOCAP/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_F018.wav,sad,Dancing barefoot in the sand; drinking champagne from the bottle.,IEMOCAP,sad,M,script,4
Ses04F_script01_1_M041,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M041.wav,xxx,Yes on this I would.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M040,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M040.wav,fru,I want- I want a family.  I want some kids.  I want to build something I give myself to.  Annie is in the middle of that.  Now where do I find it?,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M042,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M042.wav,fru,Then you help me stay here.,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M043,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M043.wav,fru,I know.  Just you help me stay here.,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M044,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M044.wav,xxx,I am thinking that way.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M045,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M045.wav,xxx,No.  I'm a pretty tough guy.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M022,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M022.wav,ang,Sometimes you have a- Sometimes you have a talent for ignoring things.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_M036,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M036.wav,xxx,"I'll get out.  I'll get married and live someplace else, maybe New York.",IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F003,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F003.wav,xxx,What was he doing out here at four in the morning?,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F017,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F017.wav,xxx,Well I got an idea but what's the story?,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F016,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F016.wav,xxx,Why?,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F002,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F002.wav,xxx,When?,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M037,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M037.wav,xxx,I've been a good son too long.  A good sucker I'm through with it.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M023,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M023.wav,fru,She's not Larry's girl.,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M009,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M009.wav,ang,You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,IEMOCAP,angry,F,script,4
Ses04F_script01_1_M035,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M035.wav,fru,"and everything would be happy and we would have a regular wedding.  But if that can't happen here, then I'll have to get out.",IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M021,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M021.wav,ang,Sometimes you infuriate me.  You know that?  Isn't it your business too if I tell this to father and he throws a fit about it.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_F028,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F028.wav,fru,The trouble is you don't see enough women.  You never did.,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_F014,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F014.wav,ang,To you it is and to me but not to him.  You can talk yourself blue in the face but there's no body and no grave so where are you?,IEMOCAP,angry,F,script,4
Ses04F_script01_1_F000,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F000.wav,xxx,What's he going to say?  Maybe we should tell him before he sees it.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F001,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F001.wav,sur,How could he see it?  I was the first one up.  He was still in bed.,IEMOCAP,surprised,F,script,4
Ses04F_script01_1_F015,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F015.wav,ang,The trouble is the goddamn newspapers.  Every month some boy turns up from nowhere so the next one is going to be Larry.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_F029,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F029.wav,ang,I don't see why it has to be Annie.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_M020,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M020.wav,ang,Then it isn't just my business.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_M034,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M034.wav,ang,"I've given it three years of thought.  I hoped that if I waited, dad would forget about Larry",IEMOCAP,angry,F,script,4
Ses04F_script01_1_M008,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M008.wav,fru,"Being dishonest with him, that kind of thing always pays off and now it's paying off.",IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M030,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M030.wav,ang,Because it is.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_M024,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M024.wav,fru,"I don't know why it is but every time I reach out for something I want, I have to pull back because other people will suffer. My whole bloody life time after time after time.",IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M018,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M018.wav,fru,You know it's not only my business.,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_F011,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F011.wav,ang,"What do you want to do, argue with him?",IEMOCAP,angry,F,script,4
Ses04F_script01_1_F005,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F005.wav,xxx,He cried hard?,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F039,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F039.wav,xxx,Well you don't want to think that way.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F038,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F038.wav,fru,You mean-tell me something you mean you'd really leave the business?,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_F004,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F004.wav,sad,Did you talk to him?,IEMOCAP,sad,F,script,4
Ses04F_script01_1_F010,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F010.wav,xxx,What do you mean dishonest?,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M019,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M019.wav,fru,Then it's alright.  I'll go ahead with it.,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M025,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M025.wav,ang,To hell with that.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_M031,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M031.wav,xxx,I can't help it.  I know her best.  I was brought up next door to her.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M027,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M027.wav,fru,"Well if she does, then that's the end of it.  From her letters, I think she's forgotten him.  I'll find out.",IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_M033,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M033.wav,xxx,Alright then mom.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_F006,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F006.wav,fru,What was he doing out here at that hour?  He's dreaming about him again.  He's walking around at night.,IEMOCAP,frustrated,F,script,4
Ses04F_script01_1_F012,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F012.wav,ang,You can't say that to him.,IEMOCAP,angry,F,script,4
Ses04F_script01_1_F013,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F013.wav,ang,How are you going to prove it?  Can you prove it?,IEMOCAP,angry,F,script,4
Ses04F_script01_1_F007,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F007.wav,xxx,He's getting just like after he died.,IEMOCAP,xxx,F,script,4
Ses04F_script01_1_M032,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M032.wav,sad,"These years when I think of someone for my wife, I think of Annie.  What do you want, a diagram?",IEMOCAP,sad,F,script,4
Ses04F_script01_1_M026,Data/IEMOCAP/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M026.wav,sad,I wanted to get this settled first.,IEMOCAP,sad,F,script,4
